Time,Open,High,Low,Close,Volume,Spread
2024-05-23,169.918,169.946,169.902,169.903,880,11
2024-05-23,169.901,169.956,169.892,169.941,676,13
2024-05-23,169.938,169.989,169.938,169.983,621,11
2024-05-23,169.984,169.984,169.942,169.956,785,11
2024-05-23,169.956,169.97,169.904,169.926,822,10
2024-05-23,169.927,169.948,169.901,169.914,730,11
2024-05-23,169.915,169.934,169.886,169.92,847,10
2024-05-23,169.919,169.949,169.87,169.903,901,10
2024-05-23,169.903,169.93,169.884,169.9,1241,12
2024-05-23,169.898,169.927,169.848,169.88,1145,10
2024-05-23,169.879,170.043,169.879,169.954,1858,10
2024-05-23,169.954,170.122,169.926,170.113,1376,10
2024-05-23,170.114,170.183,170.093,170.174,1314,10
2024-05-23,170.174,170.201,170.149,170.168,1102,11
2024-05-23,170.168,170.229,170.139,170.209,1669,11
2024-05-23,170.204,170.235,170.045,170.189,4517,10
2024-05-23,170.191,170.32,169.713,170.148,4343,10
2024-05-23,170.136,170.217,170.057,170.182,3763,10
2024-05-23,170.182,170.236,170.115,170.124,2554,10
2024-05-23,170.123,170.133,169.879,169.937,2078,10
2024-05-23,169.936,170.138,169.927,170.098,1979,11
2024-05-23,170.095,170.095,170.008,170.04,1394,11
2024-05-23,170.042,170.072,170.022,170.031,1152,11
2024-05-23,170.031,170.074,170.015,170.034,999,12
2024-05-23,170.033,170.056,169.935,169.941,1043,11
2024-05-23,169.94,169.986,169.912,169.974,972,11
2024-05-23,169.973,170.009,169.948,169.967,743,10
2024-05-23,169.966,169.981,169.884,169.895,898,10
2024-05-23,169.895,169.902,169.843,169.877,1038,11
2024-05-23,169.876,169.891,169.795,169.859,1072,12
2024-05-23,169.859,169.86,169.688,169.718,1102,10
2024-05-23,169.719,169.745,169.642,169.68,1088,12
2024-05-23,169.681,169.695,169.557,169.59,1029,12
2024-05-23,169.589,169.641,169.506,169.516,1432,11
2024-05-23,169.514,169.598,169.469,169.555,1317,13
2024-05-23,169.558,169.565,169.498,169.528,863,10
2024-05-23,169.531,169.58,169.525,169.563,857,10
2024-05-23,169.563,169.606,169.531,169.603,856,14
2024-05-23,169.604,169.63,169.592,169.613,896,10
2024-05-23,169.614,169.639,169.568,169.587,1004,10
2024-05-23,169.589,169.596,169.548,169.588,395,15
2024-05-23,169.588,169.675,169.588,169.674,339,13
2024-05-23,169.674,169.726,169.665,169.713,290,14
2024-05-23,169.712,169.738,169.704,169.707,311,15
2024-05-24,169.671,169.72,169.564,169.674,98,86
2024-05-24,169.674,169.695,169.602,169.691,241,88
2024-05-24,169.694,169.734,169.669,169.712,226,74
2024-05-24,169.712,169.735,169.69,169.733,183,80
2024-05-24,169.736,169.748,169.68,169.712,488,52
2024-05-24,169.712,169.739,169.706,169.732,285,52
2024-05-24,169.733,169.76,169.721,169.756,305,13
2024-05-24,169.756,169.773,169.728,169.773,305,16
2024-05-24,169.773,169.776,169.732,169.744,458,15
2024-05-24,169.744,169.758,169.717,169.735,253,14
2024-05-24,169.734,169.763,169.713,169.732,478,12
2024-05-24,169.731,169.743,169.699,169.731,717,13
2024-05-24,169.73,169.75,169.624,169.651,1468,10
2024-05-24,169.65,169.809,169.637,169.807,1264,10
2024-05-24,169.807,169.838,169.798,169.817,964,14
2024-05-24,169.816,169.873,169.753,169.758,1409,10
2024-05-24,169.759,169.801,169.723,169.798,1044,10
2024-05-24,169.797,169.821,169.737,169.754,1069,13
2024-05-24,169.753,169.807,169.753,169.792,669,11
2024-05-24,169.791,169.839,169.783,169.829,765,12
2024-05-24,169.83,169.877,169.779,169.835,971,12
2024-05-24,169.835,169.848,169.774,169.799,639,14
2024-05-24,169.797,169.805,169.77,169.773,717,11
2024-05-24,169.773,169.793,169.756,169.764,536,10
2024-05-24,169.765,169.794,169.755,169.779,505,13
2024-05-24,169.779,169.788,169.763,169.772,448,14
2024-05-24,169.772,169.786,169.731,169.75,487,13
2024-05-24,169.749,169.75,169.7,169.714,475,13
2024-05-24,169.715,169.779,169.677,169.762,715,12
2024-05-24,169.763,169.77,169.733,169.766,364,12
2024-05-24,169.766,169.796,169.766,169.795,385,14
2024-05-24,169.792,169.813,169.785,169.787,467,14
2024-05-24,169.787,169.831,169.761,169.804,465,11
2024-05-24,169.803,169.807,169.745,169.753,422,12
2024-05-24,169.752,169.794,169.752,169.782,657,12
2024-05-24,169.782,169.826,169.782,169.809,670,13
2024-05-24,169.812,169.843,169.749,169.797,1441,12
2024-05-24,169.797,169.878,169.753,169.877,1065,12
2024-05-24,169.878,169.901,169.799,169.846,1338,12
2024-05-24,169.845,169.873,169.784,169.799,959,13
2024-05-24,169.799,169.901,169.799,169.887,1384,12
2024-05-24,169.887,169.914,169.841,169.914,839,10
2024-05-24,169.908,169.938,169.878,169.916,1017,13
2024-05-24,169.916,170.019,169.916,170.0,851,12
2024-05-24,170.0,170.001,169.943,169.981,880,13
2024-05-24,169.976,169.999,169.961,169.966,822,11
2024-05-24,169.966,169.998,169.948,169.992,834,12
2024-05-24,169.989,170.033,169.965,169.974,1171,10
2024-05-24,169.974,170.036,169.961,170.016,874,11
2024-05-24,170.016,170.021,169.96,170.001,764,12
2024-05-24,170.001,170.048,169.988,170.016,683,10
2024-05-24,170.015,170.04,169.986,170.027,755,10
2024-05-24,170.028,170.126,170.016,170.088,778,12
2024-05-24,170.09,170.144,170.079,170.113,698,10
2024-05-24,170.114,170.205,170.097,170.185,751,12
2024-05-24,170.184,170.216,170.164,170.164,755,12
2024-05-24,170.162,170.175,170.091,170.129,949,13
2024-05-24,170.13,170.179,170.1,170.162,945,14
2024-05-24,170.162,170.186,170.13,170.177,602,10
2024-05-24,170.176,170.272,170.164,170.232,791,11
2024-05-24,170.233,170.311,170.203,170.3,1148,11
2024-05-24,170.306,170.353,170.279,170.287,1142,12
2024-05-24,170.288,170.396,170.258,170.385,2026,13
2024-05-24,170.384,170.448,170.37,170.441,1531,11
2024-05-24,170.444,170.471,170.4,170.446,1498,10
2024-05-24,170.446,170.497,170.435,170.475,1103,11
2024-05-24,170.477,170.482,170.366,170.366,1370,10
2024-05-24,170.366,170.38,170.28,170.288,1242,11
2024-05-24,170.293,170.376,170.22,170.229,2163,10
2024-05-24,170.23,170.314,170.207,170.301,1447,10
2024-05-24,170.302,170.368,170.251,170.283,1071,10
2024-05-24,170.283,170.31,170.218,170.267,1177,11
2024-05-24,170.263,170.321,170.239,170.313,1398,11
2024-05-24,170.31,170.332,170.293,170.317,1006,13
2024-05-24,170.318,170.358,170.25,170.258,913,10
2024-05-24,170.259,170.287,170.167,170.259,1214,10
2024-05-24,170.262,170.283,170.202,170.241,960,11
2024-05-24,170.241,170.302,170.224,170.279,838,13
2024-05-24,170.277,170.278,170.23,170.242,881,12
2024-05-24,170.241,170.266,170.197,170.205,908,12
2024-05-24,170.207,170.217,170.185,170.215,735,10
2024-05-24,170.215,170.288,170.206,170.287,499,12
2024-05-24,170.288,170.29,170.252,170.275,275,11
2024-05-24,170.275,170.335,170.261,170.325,723,13
2024-05-24,170.324,170.325,170.28,170.315,584,12
2024-05-24,170.315,170.32,170.255,170.256,791,13
2024-05-24,170.257,170.297,170.25,170.296,689,13
2024-05-24,170.296,170.327,170.283,170.314,619,11
2024-05-24,170.314,170.319,170.264,170.27,838,13
2024-05-24,170.27,170.292,170.265,170.27,498,11
2024-05-24,170.269,170.285,170.25,170.263,455,12
2024-05-24,170.263,170.283,170.242,170.251,651,12
2024-05-24,170.25,170.253,170.213,170.219,333,14
2024-05-24,170.219,170.24,170.192,170.226,378,10
2024-05-24,170.227,170.249,170.216,170.247,275,17
2024-05-24,170.247,170.277,170.173,170.185,256,11
2024-05-27,170.147,170.221,170.147,170.205,109,127
2024-05-27,170.206,170.206,170.133,170.158,161,147
2024-05-27,170.163,170.207,170.095,170.15,251,116
2024-05-27,170.15,170.15,170.141,170.141,34,147
2024-05-27,170.143,170.275,170.093,170.274,380,52
2024-05-27,170.274,170.275,170.225,170.244,155,52
2024-05-27,170.244,170.287,170.213,170.255,377,15
2024-05-27,170.255,170.255,170.198,170.199,173,14
2024-05-27,170.195,170.2,170.133,170.168,449,15
2024-05-27,170.169,170.216,170.145,170.19,371,13
2024-05-27,170.19,170.205,170.148,170.164,510,10
2024-05-27,170.165,170.187,170.128,170.147,481,14
2024-05-27,170.149,170.201,170.087,170.162,930,10
2024-05-27,170.163,170.169,170.072,170.082,679,12
2024-05-27,170.08,170.184,170.08,170.167,606,11
2024-05-27,170.165,170.232,170.042,170.138,1070,11
2024-05-27,170.139,170.161,169.988,170.043,1332,12
2024-05-27,170.044,170.106,170.002,170.104,959,13
2024-05-27,170.106,170.147,170.093,170.146,788,13
2024-05-27,170.146,170.176,170.129,170.132,770,11
2024-05-27,170.132,170.132,170.077,170.101,617,12
2024-05-27,170.101,170.126,170.074,170.112,570,14
2024-05-27,170.112,170.112,170.052,170.07,466,12
2024-05-27,170.071,170.074,169.997,170.046,649,13
2024-05-27,170.046,170.076,169.985,170.074,666,12
2024-05-27,170.073,170.094,170.055,170.067,462,14
2024-05-27,170.067,170.084,170.013,170.017,384,11
2024-05-27,170.016,170.02,169.967,170.01,637,11
2024-05-27,170.007,170.021,169.966,170.02,408,12
2024-05-27,170.021,170.038,170.01,170.026,384,11
2024-05-27,170.026,170.038,170.002,170.02,296,10
2024-05-27,170.021,170.087,170.019,170.073,493,12
2024-05-27,170.074,170.095,170.071,170.089,517,12
2024-05-27,170.088,170.099,170.043,170.052,356,13
2024-05-27,170.05,170.061,170.031,170.051,376,13
2024-05-27,170.051,170.078,170.031,170.071,640,11
2024-05-27,170.071,170.094,170.043,170.061,1132,10
2024-05-27,170.055,170.115,170.051,170.094,795,10
2024-05-27,170.093,170.122,170.072,170.119,743,10
2024-05-27,170.119,170.169,170.116,170.167,596,12
2024-05-27,170.166,170.185,170.125,170.167,657,12
2024-05-27,170.169,170.255,170.156,170.248,744,13
2024-05-27,170.25,170.298,170.214,170.294,691,12
2024-05-27,170.295,170.296,170.248,170.248,592,12
2024-05-27,170.252,170.277,170.165,170.228,837,12
2024-05-27,170.228,170.229,170.2,170.204,516,13
2024-05-27,170.201,170.268,170.2,170.256,496,14
2024-05-27,170.258,170.282,170.225,170.279,558,11
2024-05-27,170.28,170.306,170.255,170.285,471,12
2024-05-27,170.285,170.336,170.28,170.312,440,12
2024-05-27,170.311,170.361,170.307,170.346,492,12
2024-05-27,170.344,170.495,170.333,170.495,821,12
2024-05-27,170.495,170.497,170.312,170.312,697,12
2024-05-27,170.312,170.315,170.251,170.281,536,13
2024-05-27,170.284,170.347,170.262,170.346,500,10
2024-05-27,170.345,170.397,170.342,170.39,562,13
2024-05-27,170.384,170.407,170.292,170.353,706,10
2024-05-27,170.353,170.393,170.345,170.357,485,13
2024-05-27,170.357,170.376,170.31,170.367,549,10
2024-05-27,170.366,170.383,170.316,170.329,685,13
2024-05-27,170.328,170.353,170.028,170.155,1672,10
2024-05-27,170.158,170.204,170.155,170.183,1129,11
2024-05-27,170.185,170.203,170.103,170.141,1138,12
2024-05-27,170.142,170.178,170.123,170.133,850,13
2024-05-27,170.133,170.168,170.103,170.109,993,10
2024-05-27,170.11,170.165,170.042,170.144,889,13
2024-05-27,170.144,170.223,170.132,170.211,769,10
2024-05-27,170.212,170.241,170.194,170.226,854,10
2024-05-27,170.225,170.229,170.141,170.141,636,12
2024-05-27,170.142,170.201,170.134,170.182,598,14
2024-05-27,170.182,170.253,170.179,170.24,533,12
2024-05-27,170.241,170.283,170.173,170.175,687,11
2024-05-27,170.178,170.277,170.136,170.273,1051,12
2024-05-27,170.274,170.291,170.25,170.25,415,12
2024-05-27,170.25,170.333,170.247,170.3,327,10
2024-05-27,170.299,170.357,170.299,170.347,353,13
2024-05-27,170.348,170.387,170.345,170.387,433,16
2024-05-27,170.387,170.418,170.385,170.415,307,11
2024-05-27,170.416,170.426,170.389,170.412,353,10
2024-05-27,170.413,170.429,170.387,170.389,159,12
2024-05-27,170.385,170.397,170.345,170.351,272,10
2024-05-27,170.355,170.388,170.334,170.378,258,16
2024-05-27,170.378,170.38,170.335,170.335,253,14
2024-05-27,170.335,170.339,170.315,170.317,120,14
2024-05-27,170.317,170.327,170.308,170.309,166,13
2024-05-27,170.309,170.331,170.304,170.322,195,16
2024-05-27,170.323,170.345,170.32,170.325,229,16
2024-05-27,170.324,170.325,170.309,170.319,264,16
2024-05-27,170.318,170.331,170.311,170.331,44,16
2024-05-27,170.331,170.331,170.31,170.322,53,14
2024-05-27,170.322,170.333,170.317,170.331,100,16
2024-05-27,170.332,170.371,170.331,170.367,171,13
2024-05-27,170.368,170.405,170.367,170.405,164,15
2024-05-27,170.405,170.407,170.345,170.351,325,11
2024-05-27,170.351,170.362,170.341,170.352,546,22
2024-05-27,170.35,170.384,170.345,170.373,443,19
2024-05-28,170.317,170.317,170.144,170.314,1318,101
2024-05-28,170.313,170.338,170.3,170.302,242,79
2024-05-28,170.302,170.309,170.249,170.305,430,79
2024-05-28,170.306,170.321,170.28,170.306,152,95
2024-05-28,170.304,170.355,170.301,170.355,207,52
2024-05-28,170.355,170.409,170.354,170.409,116,52
2024-05-28,170.409,170.435,170.406,170.43,73,16
2024-05-28,170.431,170.431,170.388,170.407,141,17
2024-05-28,170.406,170.448,170.386,170.41,389,11
